order_id,customer_id,order_date,product_category,quantity,unit_price_usd,order_status,payment_method
AMA-O9965,AMA-C1466,13-Feb-2024,Electronics,1,480.08,Returned,Amazon Pay
AMA-O10329,AMA-C10222,2023-02-18,Beauty,3,62.11,Returned,Credit Card
AMA-O9690,AMA-C4375,09/25/2023,Grocery,1,57.15,Delivered,Amazon Pay
AMA-O13995,AMA-C3513,01-Sep-2023,Electronics,4,$141.39,Delivered,UPI
AMA-O12671,AMA-C5015,09/24/2023,Home & Kitchen,2,31.49,Shipped,Debit Card
AMA-O8699,AMA-C10665,2024-01-24,Sports & Outdoors,3,96.21,Cancelled,Amazon Pay
AMA-O10037,AMA-C3501,01-Jun-2024,Books,4,$13.25,Returned,Gift Card
AMA-O9082,AMA-C9999,03/12/2023,Electronics,1,129.9,Delivered,Credit Card
AMA-O11718,AMA-C9389,01/15/2024,Electronics,3,403.28,Delivered,Debit Card
AMA-O13329,AMA-C7406,03-Jan-2025,Apparel,3,38.54,Returned,Gift Card
AMA-O8517,AMA-C3921,02/29/2024,Grocery,4,$34.05,Delivered,Amazon Pay
AMA-O9555,AMA-C9548,2023-12-05,Home & Kitchen,1,238.45,Cancelled,Gift Card
AMA-O6798,AMA-C10745,12/07/2024,Grocery,3,8.68,Delivered,Credit Card
AMA-O10713,AMA-C4021,2023-03-11,Home & Kitchen,2,$192.76,Delivered,Gift Card
AMA-O10067,AMA-C1887,01/16/2023,Sports & Outdoors,3,$45.08,Shipped,Credit Card
AMA-O11894,AMA-C5537,05/24/2024,Beauty,4,72.78,Delivered,Amazon Pay
AMA-O10064,AMA-C8662,19-Sep-2023,Electronics,1,68.02,Returned,Gift Card
AMA-O11688,AMA-C9095,21-Jan-2025,Books,4,$16.57,Delivered,Debit Card
AMA-O8926,AMA-C7446,02-Jan-2024,Electronics,1,670.64,Pending,UPI
AMA-O9313,AMA-C3358,2024-08-11,Sports & Outdoors,1,208.13,Pending,Amazon Pay
AMA-O14191,AMA-C8216,20-Aug-2023,Sports & Outdoors,5,166.11,Delivered,Gift Card
AMA-O10939,AMA-C5111,03/23/2023,Apparel,1,20.83,Delivered,UPI
AMA-O11873,AMA-C5565,2024-07-19,Books,2,17.52,Shipped,Debit Card
AMA-O5818,AMA-C7024,2024-07-08,Sports & Outdoors,2,$171.57,Shipped,UPI
AMA-O10627,AMA-C2364,2024-06-28,Electronics,4,502.12,Delivered,Gift Card
AMA-O12993,AMA-C6191,10/10/2023,Electronics,4,461.26,Returned,Debit Card
AMA-O9350,AMA-C1228,05-May-2023,Apparel,5,22.9,Delivered,Credit Card
AMA-O12889,AMA-C10530,2024-08-01,Books,1,6.31,Delivered,Credit Card
AMA-O14624,AMA-C9717,19-Aug-2023,Home & Kitchen,1,155.64,Delivered,Credit Card
AMA-O6835,AMA-C4292,06/25/2024,Electronics,1,$192.60,Shipped,UPI
AMA-O5482,AMA-C3024,16-Dec-2024,Books,2,33.07,Delivered,Debit Card
AMA-O10544,AMA-C8940,2024-01-06,Grocery,5,34.03,Cancelled,Debit Card
AMA-O12631,AMA-C1303,05/08/2024,Grocery,2,45.76,Returned,Debit Card
AMA-O11627,AMA-C1047,2024-09-30,Sports & Outdoors,3,165.96,Pending,Amazon Pay
AMA-O6338,AMA-C3182,26-Nov-2025,Home & Kitchen,2,272.43,Pending,Gift Card
AMA-O11580,AMA-C1381,06-Oct-2024,Home & Kitchen,5,267.52,Shipped,Credit Card
AMA-O8299,AMA-C9962,2025-12-17,Books,1,7.96,Returned,Gift Card
AMA-O11275,AMA-C3207,22-May-2023,Home & Kitchen,4,155.11,Shipped,Gift Card
AMA-O14220,AMA-C6108,08/16/2023,Apparel,2,109.77,Delivered,Debit Card
AMA-O7836,AMA-C10391,21-Jul-2025,Grocery,3,$3.14,Shipped,Credit Card
AMA-O6770,AMA-C2919,2025-01-18,Sports & Outdoors,4,182.92,Returned,Amazon Pay
AMA-O6136,AMA-C3434,05-Dec-2024,Toys,3,$46.28,Shipped,Amazon Pay
AMA-O14100,AMA-C5122,07-Feb-2025,Electronics,1,728.95,Shipped,Amazon Pay
AMA-O5693,AMA-C4358,2025-09-27,Beauty,1,68.62,Cancelled,Amazon Pay
AMA-O6007,AMA-C5818,2025-05-06,Home & Kitchen,3,$287.56,Cancelled,Credit Card
AMA-O7119,AMA-C9603,2023-03-12,Books,4,7.09,,Debit Card
AMA-O14973,AMA-C3660,22-Aug-2023,Toys,4,25.9,Shipped,Amazon Pay
AMA-O14476,AMA-C5669,05/09/2023,Home & Kitchen,1,203.63,Shipped,Gift Card
AMA-O8015,AMA-C4846,29-Nov-2024,Beauty,2,22.52,,Credit Card
AMA-O7572,AMA-C1776,16-Feb-2023,Sports & Outdoors,2,237.48,Returned,Amazon Pay
AMA-O8561,AMA-C7350,04-May-2024,Apparel,1,108.54,Shipped,Debit Card
AMA-O14129,AMA-C2711,05-Apr-2025,Sports & Outdoors,2,$126.58,Delivered,Debit Card
AMA-O13649,AMA-C7220,26-Jan-2024,Electronics,4,239.86,Shipped,Debit Card
AMA-O5350,AMA-C5522,03/27/2024,Home & Kitchen,3,27.14,Delivered,Credit Card
AMA-O10228,AMA-C1509,2025-05-11,Toys,4,54.63,Shipped,UPI
AMA-O11341,AMA-C2536,29-Oct-2023,Grocery,2,19.63,Delivered,UPI
AMA-O8364,AMA-C7184,2024-06-20,Grocery,4,24.36,Delivered,Credit Card
AMA-O6655,AMA-C10421,12-Apr-2025,Books,2,36.46,Delivered,Gift Card
AMA-O9993,AMA-C8112,04/06/2023,Beauty,5,79.46,Returned,Debit Card
AMA-O5418,AMA-C7142,04/26/2024,Apparel,2,46.74,Delivered,Debit Card
AMA-O6671,AMA-C2498,09/30/2023,Sports & Outdoors,5,165.96,Delivered,Gift Card
AMA-O10678,AMA-C7381,2024-02-25,Apparel,5,50.77,Delivered,Debit Card
AMA-O6692,AMA-C7912,05/13/2023,Grocery,5,15.51,Shipped,Debit Card
AMA-O13651,AMA-C1561,01/04/2024,Beauty,5,70.56,Cancelled,Amazon Pay
AMA-O11668,AMA-C1993,04/30/2025,Apparel,5,$64.06,Returned,UPI
AMA-O8196,AMA-C7816,03/27/2023,Toys,1,66.54,Delivered,Credit Card
AMA-O8504,AMA-C5076,20-Jan-2025,Toys,5,51.21,Delivered,Credit Card
AMA-O5600,AMA-C3673,03-May-2023,Toys,3,90.32,Delivered,Credit Card
AMA-O10311,AMA-C7727,2024-03-14,Electronics,5,732.96,Delivered,Credit Card
AMA-O7391,AMA-C3139,15-Mar-2023,Beauty,4,24.37,Delivered,UPI
AMA-O14192,AMA-C3082,2023-09-06,Books,3,5.52,Pending,Credit Card
AMA-O6704,AMA-C6569,16-Oct-2025,Home & Kitchen,2,$201.91,Shipped,Gift Card
AMA-O13290,AMA-C6594,12/02/2025,Electronics,2,537.43,Delivered,UPI
AMA-O12754,AMA-C2547,09/04/2023,Grocery,2,$45.76,Pending,Amazon Pay
AMA-O11682,AMA-C3309,01-May-2023,Toys,2,7.77,Cancelled,Debit Card
AMA-O8829,AMA-C1890,03/31/2023,Electronics,5,119.67,Delivered,Debit Card
AMA-O6997,AMA-C7092,07/21/2023,Books,1,28.18,Returned,Debit Card
AMA-O12357,AMA-C8847,2024-11-04,Apparel,5,57.88,Delivered,UPI
AMA-O6900,AMA-C3574,2023-05-09,Books,2,38.33,Delivered,Debit Card
AMA-O10717,AMA-C6483,05/29/2024,Toys,4,$31.45,Pending,Debit Card
AMA-O14586,AMA-C6556,12/25/2025,Sports & Outdoors,1,24.9,Returned,Gift Card
AMA-O7512,AMA-C8731,19-Jan-2025,Toys,1,82.18,Delivered,Gift Card
AMA-O6987,AMA-C1209,12/20/2025,Apparel,4,25.46,Returned,Credit Card
AMA-O11202,AMA-C3580,15-Sep-2023,Beauty,2,33.32,Cancelled,Credit Card
AMA-O6559,AMA-C8528,10/26/2024,Home & Kitchen,1,255.56,Cancelled,Amazon Pay
AMA-O9870,AMA-C5642,18-Oct-2025,Books,2,6.25,Delivered,UPI
AMA-O9962,AMA-C8968,2025-01-12,Electronics,3,659.24,Pending,Amazon Pay
AMA-O6760,AMA-C9999,09/20/2025,Grocery,4,11.04,Shipped,Credit Card
AMA-O11091,AMA-C7729,28-Jul-2023,Sports & Outdoors,4,146.23,Pending,Amazon Pay
AMA-O14483,AMA-C10661,25-Apr-2024,Apparel,1,54.22,Delivered,Amazon Pay
AMA-O12856,AMA-C5416,2025-02-06,Sports & Outdoors,2,$94.36,Shipped,Credit Card
AMA-O9064,AMA-C4757,08/31/2024,Sports & Outdoors,5,54.45,Cancelled,UPI
AMA-O8530,AMA-C7992,2024-03-29,Electronics,2,89.79,Delivered,Amazon Pay
AMA-O9682,AMA-C9262,09-Mar-2023,Toys,2,91.71,Delivered,Credit Card
AMA-O14581,AMA-C5194,24-Nov-2023,Beauty,2,$20.80,Shipped,Gift Card
AMA-O8528,AMA-C5710,12-Aug-2025,Sports & Outdoors,4,$230.33,Shipped,UPI
AMA-O14362,AMA-C4858,04/05/2025,Sports & Outdoors,1,68.49,Shipped,Debit Card
AMA-O13895,AMA-C9494,2024-11-17,Home & Kitchen,2,212.63,Delivered,UPI
AMA-O10680,AMA-C9999,2025-11-10,Sports & Outdoors,1,36.05,Delivered,UPI
AMA-O6545,AMA-C8105,2024-06-23,Books,5,$28.14,Cancelled,UPI
AMA-O6542,AMA-C8051,11-Nov-2023,Apparel,1,118.31,Pending,Amazon Pay
AMA-O10078,AMA-C6717,2023-11-23,Toys,4,68.42,Delivered,Debit Card
AMA-O11180,AMA-C10516,05/10/2024,Sports & Outdoors,3,54.51,Delivered,Credit Card
AMA-O11571,AMA-C5847,08/17/2025,Sports & Outdoors,1,196.21,Cancelled,Gift Card
AMA-O14062,AMA-C8832,2025-02-07,Home & Kitchen,5,39.48,Pending,Amazon Pay
AMA-O5461,AMA-C1692,2023-02-19,Beauty,3,86.56,Shipped,Credit Card
AMA-O7940,AMA-C9121,30-Apr-2023,Grocery,1,4.96,Delivered,Debit Card
AMA-O11525,AMA-C5750,04/25/2024,Home & Kitchen,5,204.25,Shipped,Credit Card
AMA-O9608,AMA-C6354,18-Oct-2024,Electronics,4,$459.26,Returned,Debit Card
AMA-O5548,AMA-C2821,04-Mar-2023,Books,2,9.1,Shipped,Gift Card
AMA-O12023,AMA-C10010,2025-12-18,Books,3,23.17,Delivered,Debit Card
AMA-O6949,AMA-C9997,08-Dec-2025,Apparel,1,93.3,Delivered,Amazon Pay
AMA-O8462,AMA-C7803,09/20/2025,Sports & Outdoors,4,64.68,Delivered,Credit Card
AMA-O5582,AMA-C3279,02/15/2025,Apparel,5,46.02,Cancelled,Debit Card
AMA-O9149,AMA-C4759,04-Aug-2025,Home & Kitchen,5,89.97,Cancelled,Gift Card
AMA-O9859,AMA-C7444,06-Apr-2025,Toys,3,61.36,Shipped,Credit Card
AMA-O6968,AMA-C3764,2025-04-17,Sports & Outdoors,1,$58.64,Delivered,Gift Card
AMA-O5563,AMA-C1387,12-Mar-2023,Home & Kitchen,4,$287.24,Returned,Credit Card
AMA-O12424,AMA-C9494,07/24/2023,Apparel,2,27.8,Pending,Gift Card
AMA-O10971,AMA-C7838,2023-09-23,Sports & Outdoors,3,$241.65,Delivered,Gift Card
AMA-O7418,AMA-C4001,02/04/2025,Home & Kitchen,3,173.13,Delivered,Gift Card
AMA-O13250,AMA-C5385,05/16/2024,Grocery,1,32.18,Cancelled,UPI
AMA-O13999,AMA-C1407,2024-11-19,Grocery,4,50.69,,Gift Card
AMA-O10774,AMA-C7836,23-Oct-2024,Apparel,4,65.01,Cancelled,Gift Card
AMA-O10916,AMA-C5478,02-Nov-2024,Electronics,3,$311.71,Returned,Amazon Pay
AMA-O10985,AMA-C7604,09-Jul-2023,Apparel,2,114.53,,UPI
AMA-O14890,AMA-C7995,17-Mar-2023,Apparel,4,88.36,Delivered,Amazon Pay
AMA-O14076,AMA-C2565,2025-06-25,Toys,3,38.93,Returned,Credit Card
AMA-O9180,AMA-C3976,11/25/2025,Grocery,2,$33.53,Returned,Debit Card
AMA-O5899,AMA-C1025,2025-04-09,Beauty,5,33.44,Delivered,Gift Card
AMA-O8574,AMA-C4154,14-Jan-2024,Home & Kitchen,3,295.33,Pending,Amazon Pay
AMA-O8876,AMA-C7882,09/23/2025,Electronics,4,$224.37,Delivered,Debit Card
AMA-O8749,AMA-C4367,16-Feb-2025,Grocery,3,6.6,Pending,Amazon Pay
AMA-O13234,AMA-C8302,08/07/2025,Books,3,9.34,Delivered,Credit Card
AMA-O11839,AMA-C1223,15-May-2024,Beauty,3,17.23,Delivered,Credit Card
AMA-O11142,AMA-C9913,2024-01-29,Home & Kitchen,4,138.75,Delivered,Debit Card
AMA-O7553,AMA-C8910,06-Mar-2024,Apparel,1,23.36,Delivered,Debit Card
AMA-O12058,AMA-C2007,06-Mar-2024,Grocery,5,$23.74,Delivered,Credit Card
AMA-O13002,AMA-C9451,20-May-2025,Toys,3,72.73,Shipped,UPI
AMA-O11897,AMA-C9885,11/16/2023,Sports & Outdoors,5,82.73,Delivered,UPI
AMA-O7461,AMA-C10252,14-Oct-2025,Sports & Outdoors,2,63.58,Shipped,UPI
AMA-O8800,AMA-C2784,01-Dec-2024,Toys,5,54.96,Delivered,Gift Card
AMA-O6800,AMA-C7063,2023-01-18,Apparel,4,109.07,Delivered,Gift Card
AMA-O9926,AMA-C6503,12-Jun-2025,Home & Kitchen,3,170.48,Cancelled,Debit Card
AMA-O6032,AMA-C10449,2025-02-06,Beauty,3,8.65,Delivered,Amazon Pay
AMA-O6291,AMA-C1953,16-Dec-2024,Sports & Outdoors,4,$247.29,Delivered,Credit Card
AMA-O13188,AMA-C3850,27-Oct-2024,Grocery,3,39.07,Shipped,Gift Card
AMA-O12416,AMA-C8437,2025-05-08,Beauty,2,$37.04,Pending,Debit Card
AMA-O13915,AMA-C3970,11/17/2023,Home & Kitchen,4,125.05,Delivered,Credit Card
AMA-O11644,AMA-C7588,01-Apr-2023,Home & Kitchen,3,10.16,Returned,Credit Card
AMA-O9293,AMA-C8926,09/25/2025,Toys,2,86.11,Delivered,UPI
AMA-O6916,AMA-C4627,2023-09-15,Toys,2,84.24,Delivered,Debit Card
AMA-O13589,AMA-C2737,07/29/2023,Grocery,1,$30.00,Returned,Debit Card
AMA-O14462,AMA-C5397,11/19/2025,Books,3,$8.13,Delivered,Credit Card
AMA-O6359,AMA-C3815,2024-06-29,Home & Kitchen,3,216.34,Pending,Gift Card
AMA-O5882,AMA-C6088,05/09/2024,Electronics,1,691.11,Delivered,Debit Card
AMA-O6126,AMA-C4549,09/17/2025,Books,1,$23.13,Delivered,Debit Card
AMA-O7085,AMA-C7464,12/17/2023,Toys,2,63.91,Cancelled,UPI
AMA-O8349,AMA-C10356,02-Oct-2025,Toys,5,69.32,Pending,Credit Card
AMA-O14204,AMA-C9701,12-Apr-2023,Home & Kitchen,1,$76.18,Pending,Debit Card
AMA-O9928,AMA-C7680,2025-06-02,Home & Kitchen,2,45.32,Delivered,Credit Card
AMA-O10841,AMA-C9276,05/25/2023,Beauty,5,89.49,Returned,Amazon Pay
AMA-O11499,AMA-C8001,02/10/2023,Grocery,1,46.26,Shipped,UPI
AMA-O13326,AMA-C1527,09/07/2024,Electronics,3,549.79,Returned,Gift Card
AMA-O12969,AMA-C1385,13-Jun-2024,Apparel,3,89.61,Cancelled,Debit Card
AMA-O6474,AMA-C4830,2024-11-25,Beauty,3,$68.05,Cancelled,UPI
AMA-O8133,AMA-C2278,06/30/2025,Toys,3,57.26,Delivered,Gift Card
AMA-O5417,AMA-C10737,2023-06-20,Books,2,20.71,Returned,Credit Card
AMA-O5477,AMA-C7990,22-May-2025,Apparel,4,26.23,Delivered,Debit Card
AMA-O13961,AMA-C10945,29-Aug-2025,Sports & Outdoors,3,81.05,Delivered,Gift Card
AMA-O13796,AMA-C4472,2025-12-23,Apparel,5,$86.33,Shipped,UPI
AMA-O8282,AMA-C5044,31-Jul-2023,Toys,3,87.44,Shipped,Credit Card
AMA-O5251,AMA-C7300,02/02/2024,Sports & Outdoors,3,133.26,Delivered,Gift Card
AMA-O8669,AMA-C8565,19-May-2024,Sports & Outdoors,2,$151.47,Delivered,Gift Card
AMA-O9930,AMA-C6947,06-Oct-2023,Home & Kitchen,3,152.58,Shipped,Gift Card
AMA-O13940,AMA-C9646,03/16/2024,Grocery,1,25.43,Delivered,Credit Card
AMA-O8289,AMA-C2717,09-Apr-2023,Electronics,5,378.6,Delivered,Credit Card
