revenue_id,order_id,payment_date,amount_paid_usd,payment_status,refund_amount_usd
AMA-R10960,AMA-O9716,18-Dec-2023,87.45,Paid,0.0
AMA-R13271,AMA-O8226,24-Jul-2024,525.87,Paid,0.0
AMA-R16831,AMA-O14976,14-Nov-2023,183.44,Paid,183.44
AMA-R12291,AMA-O14824,2023-08-27,76.53,Paid,76.53
AMA-R15811,AMA-O8182,14-Jul-2025,412.11,Pending,0.0
AMA-R9497,AMA-O10461,2023-11-02,200.88,Paid,0.0
AMA-R16815,AMA-O8165,2025-03-17,15.36,Refunded,0.0
AMA-R10795,AMA-O9016,08/18/2025,75.87,Paid,0.0
AMA-R18228,AMA-O8259,18-Aug-2025,157.0,Pending,0.0
AMA-R15342,AMA-O13087,2025-07-10,78.6,Paid,0.0
AMA-R17379,AMA-O9776,09/12/2025,3290.0,Paid,0.0
AMA-R10030,AMA-O10305,2025-11-15,11.5,Paid,0.0
AMA-R16351,AMA-O14053,12-Jul-2024,1001.56,Paid,0.0
AMA-R16703,AMA-O14752,09-Oct-2023,126.76,Paid,126.76
AMA-R14720,AMA-O14090,12/14/2024,69.42,Paid,69.42
AMA-R11544,AMA-O14117,2023-01-17,,Paid,18.81
AMA-R15255,AMA-O10156,05/19/2025,678.3,Pending,0.0
AMA-R14774,AMA-O13506,10-Nov-2025,724.06,Refunded,0.0
AMA-R14163,AMA-O14441,28-Oct-2025,17.76,Paid,0.0
AMA-R15113,AMA-O5396,07/27/2025,70.6,Paid,0.0
AMA-R18168,AMA-O9922,2025-02-09,,Paid,0.0
AMA-R14034,AMA-O6912,2025-03-02,215.64,Refunded,0.0
AMA-R10894,AMA-O7947,05/22/2023,735.42,Paid,0.0
AMA-R9735,AMA-O10085,2023-05-01,165.92,Paid,165.92
AMA-R13295,AMA-O8842,01-Jan-2023,375.4,Paid,0.0
AMA-R9631,AMA-O7838,2023-05-15,36.54,Paid,0.0
AMA-R10849,AMA-O11267,02-Mar-2025,74.97,Paid,0.0
AMA-R9553,AMA-O8716,21-Aug-2024,197.68,Refunded,0.0
AMA-R15910,AMA-O11449,2025-10-06,678.43,Refunded,0.0
AMA-R15693,AMA-O5797,2024-08-17,158.67,Paid,0.0
AMA-R15733,AMA-O10352,2023-05-07,498.66,Pending,0.0
AMA-R9433,AMA-O7283,14-Apr-2025,167.56,Paid,0.0
AMA-R18394,AMA-O12863,10/03/2025,76.12,Paid,76.12
AMA-R11845,AMA-O11019,04/14/2025,109.3,Paid,0.0
AMA-R17391,AMA-O5324,12/18/2024,24.72,Paid,0.0
AMA-R9451,AMA-O12070,01/05/2025,,Refunded,28.94
AMA-R18137,AMA-O13711,13-Aug-2023,57.6,Paid,57.6
AMA-R14725,AMA-O7761,2025-11-04,1637.31,Paid,1637.31
AMA-R12735,AMA-O7191,2023-09-27,40.69,Paid,0.0
AMA-R12681,AMA-O11028,2024-08-30,16.32,Pending,0.0
AMA-R14090,AMA-O8609,03/04/2023,65.32,Refunded,0.0
AMA-R17407,AMA-O14096,22-Jun-2023,72.72,Paid,0.0
AMA-R15761,AMA-O8808,03/07/2025,65.67,Paid,0.0
AMA-R18258,AMA-O10058,2023-06-23,494.18,Refunded,0.0
AMA-R10988,AMA-O8402,01-Nov-2023,458.45,Paid,0.0
AMA-R15164,AMA-O8037,02-Aug-2024,125.74,Refunded,0.0
AMA-R13346,AMA-O8742,2023-01-31,,Refunded,0.0
AMA-R10115,AMA-O8104,05/27/2025,831.14,Paid,0.0
AMA-R17271,AMA-O7495,05-Nov-2025,38.64,Pending,0.0
